PSWID,SYSTEM_NAME,COUNTY,OWNERSHIP_SDWIS,OWNERSHIP_Corrected,OWNERSHIP_Binary,TYPE_consolidated,SOURCE_SDWIS,Source_Binary,Source_Purchased,POP_TOTAL,LN_POP,CWStype_SDWIS,WQ_REG,VIOLATION_COUNT,COUNT_TCR,TOTAL_VIOLATIONS,INST_CHANGE
CA1000324,MANNING GARDENS CARE CENTER INC,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,144,4.9698133,Community,SWRCB-DISTRICT,0,0,0,NO
CA1000366,SUNNYSIDE CONVALESCENT HOSP,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,198,5.288267031,Community,SWRCB-DISTRICT,0,0,0,NO
CA1000369,ZONNEVELD DAIRY - CEDAR,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,70,4.248495242,Community,SWRCB-DISTRICT,26,1,27,NO
CA1000377,ST NICHOLAS RANCH & RETREAT,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,25,3.218875825,Community,SWRCB-DISTRICT,11,2,13,NO
CA1000407,GEORGE COX WATER SYSTEM,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,40,3.688879454,Community,SWRCB-DISTRICT,2,0,2,NO
CA1000430,COUNTRY VIEW ALZHEIMER CENTER,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,125,4.828313737,Community,SWRCB-DISTRICT,0,0,0,NO
CA1000445,LINDA VISTA FARMS,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,63,4.143134726,Community,SWRCB-DISTRICT,16,0,16,NO
CA1000472,PG&E HELMS SUPPORT FACILITY,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,40,3.688879454,Community,SWRCB-DISTRICT,10,0,10,NO
CA1000585,MURRIETA/HERNANDEZ FARMS,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,29,3.36729583,Community,SWRCB-DISTRICT,0,0,0,NO
CA1000627,ZONNEVELD DAIRY - CERINI,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,48,3.871201011,Community,SWRCB-DISTRICT,0,0,0,NO
CA1009006,PAPPAS & CO (COALINGA),FRESNO,Private,Private,Nongovernmental,Private,SW,SW,No,25,3.218875825,Community,SWRCB-DISTRICT,62,0,62,NO
CA1009020,FIVE POINTS RANCH,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,100,4.605170186,Community,SWRCB-DISTRICT,1,0,1,NO
CA1009023,BRITZ/COLUSA,FRESNO,Private,Private,Nongovernmental,Private,SW,SW,No,85,4.442651256,Community,SWRCB-DISTRICT,9,0,9,NO
CA1009027,HARRIS FARMS HEADQUARTERS,FRESNO,Private,Private,Nongovernmental,Private,SW,SW,No,300,5.703782475,Community,SWRCB-DISTRICT,46,0,46,NO
CA1009028,HARRIS FARMS SOUTH #101-144,FRESNO,Private,Private,Nongovernmental,Private,SW,SW,No,160,5.075173815,Community,SWRCB-DISTRICT,22,0,22,NO
CA1009039,PAPPAS & CO (MENDOTA),FRESNO,Private,Private,Nongovernmental,Private,SW,SW,No,25,3.218875825,Community,SWRCB-DISTRICT,33,0,33,NO
CA1009051,"CANTUA CREEK VINEYARDS, IV, LLC.",FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,50,3.912023005,Community,SWRCB-DISTRICT,18,0,18,NO
CA1009078,HARRIS FEEDING COMPANY,FRESNO,Private,Private,Nongovernmental,Private,SW,SW,No,225,5.416100402,Community,SWRCB-DISTRICT,30,0,30,NO
CA1009120,RAU DAIRY,FRESNO,Private,Private,Nongovernmental,Private,GW,GW,No,85,4.442651256,Community,SWRCB-DISTRICT,0,0,0,NO
CA1009147,FARMING D,FRESNO,Private,Private,Nongovernmental,Private,SW,SW,No,110,4.700480366,Community,SWRCB-DISTRICT,9,0,9,NO
CA1009179,BRITZ/FIVE POINT SYSTEM,FRESNO,Private,Private,Nongovernmental,Private,SW,SW,No,76,4.33073334,Community,SWRCB-DISTRICT,6,0,6,NO
CA1009214,WESTSIDE HARVESTING,FRESNO,Private,Private,Nongovernmental,Private,SW,SW,No,25,3.218875825,Community,SWRCB-DISTRICT,12,0,12,NO
CA1009222,TERRA LINDA FARMS,FRESNO,Private,Private,Nongovernmental,Private,SW,SW,No,40,3.688879454,Community,SWRCB-DISTRICT,17,0,17,NO
CA1009232,SUMNER PECK RANCH,FRESNO,Private,Private,Nongovernmental,Private,SW,SW,No,42,3.737669618,Community,SWRCB-DISTRICT,8,0,8,NO
